代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率,基金规模,基金公司,基金公司规模,基金经理,任职时间,天天基金经理评分,好买基金经理评分,现金比率,股票比率,债券比率,杠杆率,阿尔法系数,夏普比率,标准差,贝塔系数
"	000297"," 	0P000156SC"," 	鹏华可转债债券A"," 	可转债基金"," 	5"," 	5"," 	3.26",18.18,鹏华基金管理有限公司,5873.3,王石千,2年229天,52.11,0,"	10.25","	19.56","	82.97",112.78,17.87,1.06,15.31,-0.36
"	050111"," 	F0000004FQ"," 	博时信用债券 - C"," 	积极债券型"," 	5"," 	5"," 	4.79",39.07,博时基金管理有限公司,7526.84,过钧,11年264天,51.31,7.36,"	3.00","	19.95","	85.53",108.48,5.12,1.05,10.96,1.4
"	000047"," 	0P0000Y602"," 	华夏双债债券A"," 	积极债券型"," 	5"," 	5"," 	0.64",9.36,华夏基金管理有限公司,8172.51,柳万军,5年227天,58.54,5.31,"	3.81","	16.53","	87.95",108.29,5.6,1.5,6.7,0.98
"	151002"," 	F020151002"," 	银河收益债券"," 	积极债券型"," 	5"," 	5"," 	1.95",6.57,银河基金管理有限公司,1234.07,韩晶,6年235天,56.04,6.04,"	5.61","	24.37","	69.56",99.54,4.64,1.38,5.64,0.69
"	001001"," 	F020001001"," 	华夏债券 - A/B"," 	普通债券型基金"," 	5"," 	5"," 	0.56",13.19,华夏基金管理有限公司,8172.51,何家琪,4年40天,50.99,6.27,"	0.53","	7.08","	101.04",108.65,5.99,1.46,4.95,0.27
"	420002"," 	F00000049H"," 	天弘永利债券 - A"," 	普通债券型基金"," 	5"," 	5"," 	1.92",44.88,天弘基金管理有限公司,14175.62,姜晓丽,8年209天,69.63,5.97,"	11.14","	19.96","	88.19",119.29,5.71,1.3,4.95,0.17
"	206004"," 	0P0000NR3J"," 	鹏华信用增利债券 - B"," 	普通债券型基金"," 	5"," 	5"," 	0.27",20.77,鹏华基金管理有限公司,5873.3,方昶,2年140天,54.31,0,"	4.22","	19.99","	105.58",129.79,5.27,1.38,4.71,0.28
"	001776"," 	0P00016OWL"," 	中欧兴利债券"," 	纯债基金"," 	5"," 	5"," 	0.47",38.76,中欧基金管理有限公司,4269.26,洪慧梅,0年218天,57.46,2.92,"	0.87","	0.00","	111.39",112.26,1.94,3.02,1.49,0.58
"	470059"," 	0P0000T396"," 	汇添富可转换债券C"," 	可转债基金"," 	4"," 	4"," 	3.33",85.69,汇添富基金管理股份有限公司,8769.43,吴江宏,5年226天,42.94,3.45,"	1.34","	19.95","	80.39",101.68,13.3,0.86,12.34,-0.62
"	630109"," 	0P0000SDKV"," 	华商稳定增利债券C"," 	积极债券型"," 	4"," 	5"," 	6.12",17.24,华商基金管理有限公司,513.7,张永志,9年351天,47.42,3.9,"	6.76","	20.06","	88.86",115.68,2.98,0.88,8.58,1
"	000810"," 	0P000149XT"," 	富国收益增强债券A"," 	积极债券型"," 	4"," 	4"," 	2.06",8.76,富国基金管理有限公司,6214.72,张明凯,1年345天,52.05,3.32,"	3.45","	20.26","	84.80",108.51,4.19,0.95,8.19,0.78
